172.19.212.65	channel-binaries-org1
172.19.19.129	channel-binaries-org2
172.19.19.130	channel-binaries-org3
172.19.212.72	cli-aic-peer0-64d7b49fc-r5smz
172.19.212.71	cli-aic-peer1-69dc8c67c-7xjmn
172.19.212.73	cli-aic-peer2-5c56b6944c-cjqw8
172.19.19.131	cli-bel-peer0-7dbb7d8f79-kltj4
172.19.19.132	cli-bel-peer1-75dc4d7f7b-hs2zc
172.19.19.135	cli-bel-peer2-57b6f84fc8-rzdz9
172.19.19.136	cli-iiit-peer0-599dd848b8-8wz8n
172.19.19.137	cli-iiit-peer1-784c75cbc6-rqkvg
172.19.19.141	cli-iiit-peer2-8579ccbb76-z5br4
172.19.212.66	orderer-6b7fd848fd-6td2h
172.19.212.67	orderer2-664dd47568-cdlr8
172.19.212.69	orderer3-5d5fdf6854-txg6p
172.19.212.68	orderer4-58c9687698-thcmx
172.19.212.70	orderer5-6fdd88654-mjpmq
172.19.212.74	peer0aic-56f7c894d-9rk52
172.19.19.133	peer0bel-6bc45c79bb-vvhzj
172.19.19.138	peer0iiit-7c65cc866c-rs4wl
172.19.212.75	peer1aic-67b7746468-nd5w8
172.19.19.134	peer1bel-6dc76778bb-zxnjw
172.19.19.142	peer1iiit-6987545c6f-f6fbq
172.19.212.76	peer2aic-57f8d8684-npv8m
172.19.19.139	peer2bel-6d6df566b-2bcxx
172.19.19.140	peer2iiit-69f6c6f4c9-jw4th
